title,handle,tags,image_main,product_type,image_2,image_1,design_1,image_3
Sugar Skull Pink Pattern Hawaiian Shirt - HSK0806A,HSK0806A,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/609202d34528ba0ab5be57c4/af7c2665245e2c6fa94f87e4f4768837/Z-Mock-HW2--front-and-back.jpg,Hawaiian Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/609202d34528ba0ab5be57c4/85d52325feaf8ca83d7eabea7a3b48dc/Z-mk-hawaii---back.jpg,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/609202d34528ba0ab5be57c4/f548134507ad7a7458ac5bd752fddd49/Z-mk-hawaii---front.jpg,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/609202d34528ba0ab5be57c4/55754a698afc8c6ae790fe3d4f5b41a5/HWSH2-template.jpg,
Sugar Skull Blue Pattern Hawaiian Shirt - HSK2906C,HSK2906C,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc22e9fabb4981cd2402/4b7905f9154b56436a9440aabf31a1c1/Z-Mock-HW2--front-and-back.png,Hawaiian Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc22e9fabb4981cd2402/23e79dd6eda79c7f33fa69dec08c00b5/Z-mk-hawaii---back.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc22e9fabb4981cd2402/a05c3c4ed419477f0656d1e2ddc75a23/Z-mk-hawaii---front.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc22e9fabb4981cd2402/e5e90475a9d5b41ce3dfb74b60f00d55/HWSH2-template.jpg,
Sugar Skull Gold Pattern Hawaiian Shirt - HSK2906D,HSK2906D,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc2a8360ee8e24a5687d/dbbf25d4031e8a979e4d52feaeacfeda/Z-Mock-HW2--front-and-back.png,Hawaiian Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc2a8360ee8e24a5687d/7610599aa0f7c05c339768a74412d8f7/Z-mk-hawaii---back.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc2a8360ee8e24a5687d/e16552e292fb5315f0295ee876307a85/Z-mk-hawaii---front.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc2a8360ee8e24a5687d/0385588a4fe571153bf7880a754b98d1/HWSH2-template.jpg,
Sugar Skull Navy Pattern Hawaiian Shirt - HSK2906E,HSK2906E,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc2deebf3560e2a3e930/f12d54d2abf56cca64570ed4cfae3f4f/Z-Mock-HW2--front-and-back.png,Hawaiian Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc2deebf3560e2a3e930/cac49c9db1e7df7002bd0e2e4ad2bdee/Z-mk-hawaii---back.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc2deebf3560e2a3e930/a08eaec8f15d72360418e50691c39dd1/Z-mk-hawaii---front.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc2deebf3560e2a3e930/75ecb0b58c7423c8a0f05f9e904cb433/HWSH2-template.jpg,
Sugar Skull Green Pattern Hawaiian Shirt - HSK2906F,HSK2906F,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc301cdfc2616a9498c9/1c388907754279f95d4de4c50baa92f1/Z-Mock-HW2--front-and-back.png,Hawaiian Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc301cdfc2616a9498c9/6438881221c24bfb52e81a6b42462b48/Z-mk-hawaii---back.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc301cdfc2616a9498c9/55fe3fc3078bad9313c6ae8ffe6e2874/Z-mk-hawaii---front.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc301cdfc2616a9498c9/1a4f774101e1062e279bb0525219f690/HWSH2-template.jpg,
Sugar Skull Red Pattern Hawaiian Shirt - HSK1206I,HSK1206I,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc40ffdbf68fde3e1dc6/eff1bc76c1a1cf53917c6081ba09ae09/Z-Mock-HW2--front-and-back.png,Hawaiian Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc40ffdbf68fde3e1dc6/4d0947814bfe53eaf43a31dd4ea69ec0/Z-mk-hawaii---back.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc40ffdbf68fde3e1dc6/542d95b1da98202945f7bec55db91000/Z-mk-hawaii---front.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc40ffdbf68fde3e1dc6/83c38552bab4fa9cb9197fc58b5d384d/HWSH2-template.jpg,
Sugar Skull Red and White Pattern Hawaiian Shirt - HSK1206J,HSK1206J,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc464f180e6ae9142795/9a1142f5b39e5b62c1fb9b83956230db/Z-Mock-HW2--front-and-back.png,Hawaiian Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc464f180e6ae9142795/f3b84d56ca2fdb1054f256afb46efffa/Z-mk-hawaii---back.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc464f180e6ae9142795/3ed4fd923119e3ff4d09e500f9be6563/Z-mk-hawaii---front.png,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60dafc464f180e6ae9142795/c4ebc8e607c537068975874358020a57/HWSH2-template.jpg,
Sugar Skull Blue Pattern Baseball Jersey Shirt - HSK2206C,HSK2206C,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffbe9705e47fcd21874b/e5cf4701a266516a7a94666851e3cb28/Z-jersey-mk---front-and-back.jpg,Baseball Jersey Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffbe9705e47fcd21874b/0d3aeb998d8e4adda02d5e9d13f17810/Z-jersey-mk---back.jpg,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffbe9705e47fcd21874b/be49c85ec1fe7b0685b00010408dd1d6/Z-jersey-mk---front.jpg,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffbe9705e47fcd21874b/d89122a51504fd2bdc1786adfafb70da/AOP-Baseball-Jersey-template.png,
Sugar Skull Purple Pattern Baseball Jersey Shirt - HSK2206D,HSK2206D,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffc1cefc5b0ecc30ed8f/af5c6f99d4285b9220997fcc97c3f2f1/Z-jersey-mk---front-and-back.jpg,Baseball Jersey Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffc1cefc5b0ecc30ed8f/1526fd59c6e29fc65ed232064fe4e520/Z-jersey-mk---back.jpg,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffc1cefc5b0ecc30ed8f/dde5c26f1447dfb276a58da0b2a9f8bc/Z-jersey-mk---front.jpg,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffc1cefc5b0ecc30ed8f/6dfa135386344da09335e9d23933bb6d/AOP-Baseball-Jersey-template.png,
Sugar Skull Navy Pattern Baseball Jersey Shirt - HSK2206E,HSK2206E,skull,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffc4a3ac4d55946b8c17/17d65147303a258b40d39d77987aefb3/Z-jersey-mk---front-and-back.jpg,Baseball Jersey Shirt,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffc4a3ac4d55946b8c17/5b100c65dba84ce23fa7c9031eace75b/Z-jersey-mk---back.jpg,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffc4a3ac4d55946b8c17/7bd3fdf795dff058efa6550749ef3d53/Z-jersey-mk---front.jpg,https://trello-attachments.s3.amazonaws.com/609202c9ee5ea436b0c8b220/60daffc4a3ac4d55946b8c17/425cf69cd20f239fe9f022b1d0924043/AOP-Baseball-Jersey-template.png,
